,possessionTeam,predictedMotionSeparation,postSnapSeparationAdded,percentRoutesWithAddedPostSnapSeparation,count
0,IND,4.4098428876735625,-0.33592237046610857,0.3784355179704017,1419
1,MIN,4.323372349279507,-0.22635832388415306,0.40566873339238263,1129
2,DET,4.4876851162749904,-0.19842960743051213,0.3857008466603951,1063
3,NYG,4.784119330951366,-0.13219065631651863,0.41725888324873095,985
4,LAC,4.642932860980947,-0.083325007870844,0.3996776792908944,1241
5,CAR,4.613130767411597,-0.08093258920666835,0.4118967452300786,891
6,HOU,4.684687223009663,-0.07689825440043105,0.42233502538071066,985
7,KC,4.480519364698701,-0.07641157442421785,0.42857142857142855,1253
8,MIA,4.882959567557407,-0.06149599815332457,0.4385432473444613,1318
9,JAX,4.2943701358366795,-0.061350206307583456,0.43737769080234834,1022
10,SF,4.779187229293339,-0.003453306808866884,0.43551236749116606,1132
11,DEN,4.793141242294354,0.010293366774734705,0.44427001569858715,1274
12,PHI,4.511590998082889,0.011581083127357705,0.44671689989235736,929
13,WAS,4.790415433068577,0.015808085819983737,0.4289985052316891,1338
14,NE,4.649945619692782,0.015878299347904638,0.44465116279069766,1075
15,SEA,4.7136882042490065,0.016178828751088708,0.4378531073446328,1062
16,LV,4.5540419795408384,0.02353974751421704,0.4190871369294606,1205
17,CIN,4.211511909733947,0.026762923745271155,0.4390771449170872,1387
18,NO,4.650171085790158,0.03181434580627503,0.42021276595744683,1316
19,CHI,4.674350575277265,0.03644062685047077,0.41842900302114805,662
20,LA,4.5228693852600745,0.04306709497408303,0.43744374437443745,1111
21,DAL,4.310290430237445,0.07230547250558714,0.4428706326723324,1059
22,CLE,4.343274468732745,0.07404076609913181,0.44501718213058417,1164
23,ATL,5.1461871641232895,0.07590599451541608,0.44527363184079605,804
24,GB,4.570272290816453,0.07869444278053327,0.4327956989247312,1116
25,TB,4.38529894465328,0.08029915508521855,0.44810996563573885,1455
26,TEN,4.232439261257977,0.08783313900727516,0.4422809457579972,719
27,PIT,4.324425427369224,0.1013718904873291,0.44367283950617287,1296
28,BAL,4.401939315137486,0.10515957718368005,0.4557213930348259,1005
29,NYJ,4.5145387046030905,0.15613396882650443,0.4455370650529501,1322
30,ARI,4.593778981750332,0.23357280581185155,0.47285067873303166,1326
31,BUF,4.575150154901367,0.2512246333861198,0.5053285968028419,1126
